Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,62.790001000000004,62.84,62.130001,62.580002,60.664047,20694100
2017-01-04,62.48,62.75,62.119999,62.299999,60.392612,21340000
2017-01-05,62.189999,62.66,62.029999,62.299999,60.392612,24876000
2017-01-06,62.299999,63.150002,62.040001000000004,62.84,60.916084,19922900
2017-01-09,62.759997999999996,63.080002,62.540001000000004,62.639998999999996,60.72220600000001,20256600
2017-01-10,62.73,63.07,62.279999,62.619999,60.702819999999996,18593000
2017-01-11,62.610001000000004,63.23,62.43,63.189999,61.25536700000001,21517300
2017-01-12,63.060001,63.400002,61.950001,62.610001000000004,60.693130000000004,20968200
2017-01-13,62.619999,62.869999,62.349998,62.700001,60.780376000000004,19422300
2017-01-17,62.68,62.700001,62.029999,62.529999,60.615578,20620400
2017-01-18,62.669998,62.700001,62.119999,62.5,60.586498,19670100
2017-01-19,62.240002000000004,62.98,62.200001,62.299999,60.392612,18451700
2017-01-20,62.669998,62.82,62.369999,62.740002000000004,60.819148999999996,30213500
2017-01-23,62.700001,63.119999,62.57,62.959998999999996,61.03241,23097600
2017-01-24,63.200001,63.740002000000004,62.939999,63.52,61.575272,24672900
2017-01-25,63.950001,64.099998,63.450001,63.68,61.730373,23672700
2017-01-26,64.120003,64.540001,63.549999,64.269997,62.302299,43554600
2017-01-27,65.389999,65.910004,64.889999,65.779999,63.76607900000001,44818000
2017-01-30,65.690002,65.790001,64.800003,65.129997,63.135967,31651400
2017-01-31,64.860001,65.150002,64.260002,64.650002,62.670673,25270500
2017-02-01,64.360001,64.620003,63.470001,63.580002,61.633433999999994,39671500
2017-02-02,63.25,63.41,62.75,63.169998,61.235981,45827000
2017-02-03,63.5,63.700001,63.07,63.68,61.730373,30301800
2017-02-06,63.5,63.650002,63.139998999999996,63.639998999999996,61.691596999999994,19796400
2017-02-07,63.740002000000004,63.779999,63.23,63.43,61.488026,20277200
2017-02-08,63.57,63.810001,63.220001,63.34,61.400783999999994,18096400
2017-02-09,63.52,64.440002,63.32,64.059998,62.098732,22644400
2017-02-10,64.25,64.300003,63.98,64.0,62.040577,18170700
2017-02-13,64.239998,64.860001,64.129997,64.720001,62.738533,22920100
2017-02-14,64.410004,64.720001,64.019997,64.57,62.972595,23065900
2017-02-15,64.5,64.57,64.160004,64.529999,62.933578000000004,17005200
2017-02-16,64.739998,65.239998,64.440002,64.519997,62.923823999999996,20546300
2017-02-17,64.470001,64.690002,64.300003,64.620003,63.02135500000001,21248800
2017-02-21,64.610001,64.949997,64.449997,64.489998,62.894569,20655900
2017-02-22,64.33000200000001,64.389999,64.050003,64.360001,62.767784,19292700
2017-02-23,64.41999799999999,64.730003,64.190002,64.620003,63.02135500000001,20273100
2017-02-24,64.529999,64.800003,64.139999,64.620003,63.02135500000001,21796800
2017-02-27,64.540001,64.540001,64.050003,64.230003,62.641006000000004,15871500
2017-02-28,64.08000200000001,64.199997,63.759997999999996,63.98,62.397186,23239800
2017-03-01,64.129997,64.989998,64.019997,64.940002,63.333443,26937500
2017-03-02,64.690002,64.75,63.880001,64.010002,62.426449,24539600
2017-03-03,63.990002000000004,64.279999,63.619999,64.25,62.66050300000001,18135900
2017-03-06,63.970001,64.559998,63.810001,64.269997,62.680007999999994,18750300
2017-03-07,64.190002,64.779999,64.190002,64.400002,62.806801,18521000
2017-03-08,64.260002,65.08000200000001,64.25,64.989998,63.382197999999995,21510900
2017-03-09,65.190002,65.199997,64.480003,64.730003,63.128631999999996,19846800
2017-03-10,65.110001,65.260002,64.75,64.93,63.32368100000001,19538200
2017-03-13,65.010002,65.190002,64.57,64.709999,63.109127,20100000
2017-03-14,64.529999,64.550003,64.150002,64.410004,62.816551000000004,14280200
2017-03-15,64.550003,64.91999799999999,64.25,64.75,63.14814000000001,24833800
2017-03-16,64.75,64.760002,64.300003,64.639999,63.040863,20674300
2017-03-17,64.910004,65.239998,64.68,64.870003,63.265170999999995,49219700
2017-03-20,64.910004,65.18,64.720001,64.93,63.32368100000001,14598100
2017-03-21,65.190002,65.5,64.129997,64.209999,62.621497999999995,26640500
2017-03-22,64.120003,65.139999,64.120003,65.029999,63.421206999999995,20680000
2017-03-23,64.940002,65.239998,64.769997,64.870003,63.265170999999995,19269200
2017-03-24,65.360001,65.449997,64.760002,64.980003,63.372452,22617100
2017-03-27,64.629997,65.220001,64.349998,65.099998,63.489475,18614700
2017-03-28,64.959999,65.470001,64.650002,65.290001,63.674778,20080400
2017-03-29,65.120003,65.5,64.949997,65.470001,63.85031899999999,13618400
2017-03-30,65.41999799999999,65.980003,65.360001,65.709999,64.084396,15122800
2017-03-31,65.650002,66.190002,65.449997,65.860001,64.230675,21040300
2017-04-03,65.809998,65.940002,65.190002,65.550003,63.928349,20400900
2017-04-04,65.389999,65.809998,65.279999,65.730003,64.10390500000001,12997400
2017-04-05,66.300003,66.349998,65.440002,65.559998,63.938095,21448600
2017-04-06,65.599998,66.059998,65.480003,65.730003,64.10390500000001,18103500
2017-04-07,65.849998,65.959999,65.440002,65.68,64.055138,14108500
2017-04-10,65.610001,65.82,65.360001,65.529999,63.90884000000001,17952700
2017-04-11,65.599998,65.610001,64.849998,65.480003,63.86008100000001,18791500
2017-04-12,65.41999799999999,65.510002,65.110001,65.230003,63.616261,17108500
2017-04-13,65.290001,65.860001,64.949997,64.949997,63.343189,17896500
2017-04-17,65.040001,65.489998,65.010002,65.480003,63.86008100000001,16689300
2017-04-18,65.33000200000001,65.709999,65.160004,65.389999,63.772312,15155600
2017-04-19,65.650002,65.75,64.889999,65.040001,63.430969,26992800
2017-04-20,65.459999,65.75,65.139999,65.5,63.87958100000001,22299500
2017-04-21,65.66999799999999,66.699997,65.449997,66.400002,64.757317,32522600
2017-04-24,67.480003,67.660004,67.099998,67.529999,65.85936,29770000
2017-04-25,67.900002,68.040001,67.599998,67.91999799999999,66.239723,30242700
2017-04-26,68.08000200000001,68.309998,67.620003,67.83000200000001,66.151939,26190800
2017-04-27,68.150002,68.379997,67.58000200000001,68.269997,66.581055,34971000
2017-04-28,68.910004,69.139999,67.690002,68.459999,66.76635,39423500
2017-05-01,68.68,69.550003,68.5,69.410004,67.692863,31954400
2017-05-02,69.709999,69.709999,69.129997,69.300003,67.585571,23906100
2017-05-03,69.379997,69.379997,68.709999,69.08000200000001,67.371025,28928000
2017-05-04,69.029999,69.08000200000001,68.639999,68.809998,67.107697,21749400
2017-05-05,68.900002,69.029999,68.489998,69.0,67.292992,19128800
2017-05-08,68.970001,69.050003,68.41999799999999,68.940002,67.234482,18566100
2017-05-09,68.860001,69.279999,68.68,69.040001,67.332008,22858400
2017-05-10,68.989998,69.559998,68.91999799999999,69.309998,67.595329,17977800
2017-05-11,68.360001,68.730003,68.120003,68.459999,66.76635,28789400
2017-05-12,68.610001,68.610001,68.040001,68.379997,66.68833199999999,18714100
2017-05-15,68.139999,68.480003,67.57,68.43,66.737099,31530300
2017-05-16,68.230003,69.440002,68.160004,69.410004,68.080872,34956000
2017-05-17,68.889999,69.099998,67.43,67.480003,66.18782,30548800
2017-05-18,67.400002,68.129997,67.139999,67.709999,66.413414,25201300
2017-05-19,67.5,68.099998,67.43,67.690002,66.39380600000001,26961100
2017-05-22,67.889999,68.5,67.5,68.449997,67.139236,16237600
2017-05-23,68.720001,68.75,68.379997,68.68,67.364853,15425800
2017-05-24,68.870003,68.879997,68.449997,68.769997,67.45311,14593900
2017-05-25,68.970001,69.879997,68.910004,69.620003,68.28685,21854100
2017-05-26,69.800003,70.220001,69.519997,69.959999,68.62033100000001,19827900
2017-05-30,69.790001,70.410004,69.769997,70.410004,69.061729,17072800
2017-05-31,70.529999,70.739998,69.809998,69.839996,68.50263199999999,30436400
2017-06-01,70.239998,70.610001,69.449997,70.099998,68.75765200000001,21603600
2017-06-02,70.440002,71.860001,70.239998,71.760002,70.385864,34770300
2017-06-05,71.970001,72.889999,71.809998,72.279999,70.895905,33316800
2017-06-06,72.300003,72.620003,72.269997,72.519997,71.131302,31511100
2017-06-07,72.639999,72.769997,71.949997,72.389999,71.003807,22301800
2017-06-08,72.510002,72.519997,71.5,71.949997,70.57222,24456300
2017-06-09,72.040001,72.08000200000002,68.589996,70.32,68.973434,49187400
2017-06-12,69.25,69.940002,68.129997,69.779999,68.443779,47761700
2017-06-13,70.019997,70.82,69.959999,70.650002,69.297127,25258600
2017-06-14,70.910004,71.099998,69.43,70.269997,68.92439300000001,25510700
2017-06-15,69.269997,70.209999,68.800003,69.900002,68.561485,26068700
2017-06-16,69.730003,70.029999,69.220001,70.0,68.65956899999999,48345100
2017-06-19,70.5,70.940002,70.349998,70.870003,69.512909,23798300
2017-06-20,70.82,70.870003,69.870003,69.910004,68.57128900000001,21512200
2017-06-21,70.209999,70.620003,69.940002,70.269997,68.92439300000001,19891100
2017-06-22,70.540001,70.589996,69.709999,70.260002,68.914589,22965700
2017-06-23,70.089996,71.25,69.91999799999999,71.209999,69.846397,27617300
2017-06-26,71.400002,71.709999,70.440002,70.529999,69.17942,19607000
2017-06-27,70.110001,70.18,69.18,69.209999,67.884689,25215100
2017-06-28,69.209999,69.839996,68.790001,69.800003,68.463402,25806200
2017-06-29,69.379997,69.489998,68.089996,68.489998,67.17848199999999,28918700
2017-06-30,68.779999,69.379997,68.739998,68.93,67.610054,24161100
2017-07-03,69.33000200000001,69.599998,68.019997,68.16999799999999,66.864609,16165500
2017-07-05,68.260002,69.440002,68.220001,69.08000200000001,67.757187,21176300
2017-07-06,68.269997,68.779999,68.120003,68.57,67.25695,21117600
2017-07-07,68.699997,69.839996,68.699997,69.459999,68.129906,16878300
2017-07-10,69.459999,70.25,69.199997,69.980003,68.639961,15014500
